"Pollster","Dates","N.Pop","McCain","Obama","Barr","Nader","Other","Undecided","Margin","Starting.Date","End.Date","Len","Day","N","Pop","MainPollster"
"DailyKos.com (D)/Research 2000","10/22-24/08","1100 LV",40,52,"2","2","2","2","+12D","10/22/08","10/24/08",3,297,1100,"LV","DailyKos"
"Rasmussen","10/22-24/08","3000 LV",44,52,"-","-","-","-","+8D","10/22/08","10/24/08",3,297,3000,"LV","Rasmussen"
"Diageo/Hotline","10/22-24/08","869 LV",43,50,"-","-","-","5","+7D","10/22/08","10/24/08",3,297,869,"LV","Hotline"
"Gallup","10/22-24/08","2358 LV",43,51,"-","-","1","5","+8D","10/22/08","10/24/08",3,297,2358,"LV","Gallup"
"Reuters/ C-SPAN/ Zogby","10/21-24/08","1203 LV",42,51,"-","-","-","7","+9D","10/21/08","10/24/08",4,296.5,1203,"LV","Zogby"
"ABC/Post","10/21-24/08","1321 LV",44,53,"-","-","2","2","+9D","10/21/08","10/24/08",4,296.5,1321,"LV",NA
"IBD/TIPP","10/20-24/08","989 LV",42,46,"-","-","-","12","+4D","10/20/08","10/24/08",5,296,989,"LV",NA
"Newsweek","10/22-23/08","882 LV",41,53,"-","-","1","5","+12D","10/22/08","10/23/08",2,296.5,882,"LV",NA
"Democracy Corps (D)","10/21-23/08","1000 LV",43,52,"1","2","-","1","+9D","10/21/08","10/23/08",3,296,1000,"LV",NA
"GWU (Lake/Tarrance)","10/17-23/08","1000 LV",46,49,"-","-","-","-","+3D","10/17/08","10/23/08",7,294,1000,"LV","GWU"
"Big Ten","10/19-22/08","1014 LV",43,52,"-","-","1","5","+9D","10/19/08","10/22/08",4,294.5,1014,"LV",NA
"CBS/Times","10/19-22/08","699 LV",39,52,"-","-","2","7","+13D","10/19/08","10/22/08",4,294.5,699,"LV","NY Times"
"FOX","10/20-21/08","936 LV",40,49,"-","-","2","8","+9D","10/20/08","10/21/08",2,294.5,936,"LV","FOX"
"Economist/YouGov","10/20-21/08","1000 A",41,49,"-","-","3","6","+8D","10/20/08","10/21/08",2,294.5,1000,"A",NA
"DailyKos.com (D)/Research 2000","10/19-21/08","1100 LV",41,51,"2","2","1","3","+10D","10/19/08","10/21/08",3,294,1100,"LV","DailyKos"
"Rasmussen","10/19-21/08","3000 LV",45,51,"-","-","-","-","+6D","10/19/08","10/21/08",3,294,3000,"LV","Rasmussen"
"Diageo/Hotline","10/19-21/08","782 LV",42,47,"-","-","-","8","+5D","10/19/08","10/21/08",3,294,782,"LV","Hotline"
"Gallup","10/19-21/08","2331 LV",44,52,"-","-","-","5","+8D","10/19/08","10/21/08",3,294,2331,"LV","Gallup"
"Reuters/ C-SPAN/ Zogby","10/18-20/08","1214 LV",42,50,"-","-","-","7","+8D","10/18/08","10/20/08",3,293,1214,"LV","Zogby"
"ARG","10/18-20/08","1200 LV",45,49,"-","-","-","6","+4D","10/18/08","10/20/08",3,293,1200,"LV",NA
"ABC/Post","10/17-20/08","1324 LV",44,53,"-","-","2","2","+9D","10/17/08","10/20/08",4,292.5,1324,"LV",NA
"NBC/WSJ","10/17-20/08","1159 RV",42,52,"-","-","2","4","+10D","10/17/08","10/20/08",4,292.5,1159,"RV",NA
"Ipsos/McClatchy","10/16-20/08","773 LV",42,50,"-","-","1","7","+8D","10/16/08","10/20/08",5,292,773,"LV",NA
"AP-Gfk","10/16-20/08","800 LV",43,44,"1","1","8","4","+1D","10/16/08","10/20/08",5,292,800,"LV",NA
"Harris Interactive","10/16-20/08","1390 LV",44,50,"1","1","1","3","+6D","10/16/08","10/20/08",5,292,1390,"LV",NA
"CNN","10/17-19/08","746 LV",46,51,"-","-","-","1","+5D","10/17/08","10/19/08",3,292,746,"LV","CNN"
"Pew","10/16-19/08","2382 LV",39,53,"-","-","-","8","+14D","10/16/08","10/19/08",4,291.5,2382,"LV",NA
"IBD/TIPP","10/15-19/08","850 LV",41,47,"-","-","-","12","+6D","10/15/08","10/19/08",5,291,850,"LV",NA
"Democracy Corps (D)","10/15-19/08","1000 LV",44,49,"2","3","0","2","+5D","10/15/08","10/19/08",5,291,1000,"LV",NA
"Franklin and Marshall/Hearst-Argyle","10/13-19/08","LV",45,50,"-","-","-","-","+5D","10/13/08","10/19/08",7,290,NA,"LV",NA
"DailyKos.com (D)/Research 2000","10/16-18/08","1100 LV",43,50,"2","2","1","2","+7D","10/16/08","10/18/08",3,291,1100,"LV","DailyKos"
"Rasmussen","10/16-18/08","3000 LV",45,51,"-","-","-","-","+6D","10/16/08","10/18/08",3,291,3000,"LV","Rasmussen"
"Diageo/Hotline","10/16-18/08","785 LV",41,48,"-","-","-","8","+7D","10/16/08","10/18/08",3,291,785,"LV","Hotline"
"Gallup","10/16-18/08","2277 LV",44,51,"-","-","-","4","+7D","10/16/08","10/18/08",3,291,2277,"LV","Gallup"
"Reuters/ C-SPAN/ Zogby","10/15-17/08","1209 LV",44,48,"-","-","-","7","+4D","10/15/08","10/17/08",3,290,1209,"LV","Zogby"
"GWU (Lake/Tarrance)","10/12-16/08","1000 LV",45,49,"-","-","-","6","+4D","10/12/08","10/16/08",5,288,1000,"LV","GWU"
"DailyKos.com (D)/Research 2000","10/13-15/08","1100 LV",41,52,"2","2","1","2","+11D","10/13/08","10/15/08",3,288,1100,"LV","DailyKos"
"Rasmussen","10/13-15/08","3000 LV",46,50,"-","-","-","-","+4D","10/13/08","10/15/08",3,288,3000,"LV","Rasmussen"
"Diageo/Hotline","10/13-15/08","817 LV",41,49,"-","-","-","7","+8D","10/13/08","10/15/08",3,288,817,"LV","Hotline"
"Gallup","10/13-15/08","2312 LV",45,51,"-","-","1","4","+6D","10/13/08","10/15/08",3,288,2312,"LV","Gallup"
"IBD/TIPP","10/9-14/08","872 LV",42,45,"-","-","-","13","+3D","10/9/08","10/14/08",6,285.5,872,"LV",NA
"ARG","10/11-13/08","1200 LV",45,50,"-","-","-","5","+5D","10/11/08","10/13/08",3,286,1200,"LV",NA
"Reuters/ C-SPAN/ Zogby","10/10-13/08","1208 LV",43,49,"-","-","-","8","+6D","10/10/08","10/13/08",4,285.5,1208,"LV","Zogby"
"CBS/Times","10/10-13/08","699 LV",39,53,"-","-","1","7","+14D","10/10/08","10/13/08",4,285.5,699,"LV","NY Times"
"Times/Bloomberg","10/10-13/08","1030 LV",41,50,"-","-","2","7","+9D","10/10/08","10/13/08",4,285.5,1030,"LV","NY Times"
"Ipsos/McClatchy","10/9-13/08","1036 RV",39,48,"1","2","-","10","+9D","10/9/08","10/13/08",5,285,1036,"RV",NA
"Economist/YouGov","10/11-12/08","1000 A",42,48,"-","-","4","5","+6D","10/11/08","10/12/08",2,285.5,1000,"A",NA
"DailyKos.com (D)/Research 2000","10/10-12/08","1100 LV",40,52,"2","2","1","3","+12D","10/10/08","10/12/08",3,285,1100,"LV","DailyKos"
"Rasmussen","10/10-12/08","3000 LV",45,50,"-","-","-","-","+5D","10/10/08","10/12/08",3,285,3000,"LV","Rasmussen"
"Diageo/Hotline","10/10-12/08","823 LV",42,48,"-","-","-","6","+6D","10/10/08","10/12/08",3,285,823,"LV","Hotline"
"Gallup","10/10-12/08","2286 LV",45,51,"-","-","0","4","+6D","10/10/08","10/12/08",3,285,2286,"LV","Gallup"
"USA Today/Gallup","10/10-12/08","1030 LV",45,52,"-","-","-","2","+7D","10/10/08","10/12/08",3,285,1030,"LV","Gallup"
"Pew","10/9-12/08","1191 LV",42,49,"-","-","-","9","+7D","10/9/08","10/12/08",4,284.5,1191,"LV",NA
"Democracy Corps (D)","10/8-12/08","1000 LV",40,50,"3","2","0","5","+10D","10/8/08","10/12/08",5,284,1000,"LV",NA
"ABC/Post","10/8-11/08","766 LV",43,53,"-","-","2","2","+10D","10/8/08","10/11/08",4,283.5,766,"LV",NA
"FOX","10/8-9/08","900 RV",39,46,"-","-","-","11","+7D","10/8/08","10/9/08",2,282.5,900,"RV","FOX"
"Newsweek","10/8-9/08","1035 RV",41,52,"-","-","-","6","+11D","10/8/08","10/9/08",2,282.5,1035,"RV",NA
"DailyKos.com (D)/Research 2000","10/7-9/08","1100 LV",40,52,"2","2","2","2","+12D","10/7/08","10/9/08",3,282,1100,"LV","DailyKos"
"Rasmussen","10/7-9/08","3000 LV",45,50,"-","-","-","-","+5D","10/7/08","10/9/08",3,282,3000,"LV","Rasmussen"
"Diageo/Hotline","10/7-9/08","838 LV",41,48,"-","-","-","7","+7D","10/7/08","10/9/08",3,282,838,"LV","Hotline"
"Gallup","10/7-9/08","2784 RV",41,51,"-","-","1","7","+10D","10/7/08","10/9/08",3,282,2784,"RV","Gallup"
"Reuters/ C-SPAN/ Zogby","10/6-9/08","1203 LV",43,48,"-","-","-","9","+5D","10/6/08","10/9/08",4,281.5,1203,"LV","Zogby"
"GWU (Lake/Tarrance)","10/6-9/08","800 LV",43,51,"-","-","-","6","+8D","10/6/08","10/9/08",4,281.5,800,"LV","GWU"
