Day,Len,State,EV,Dem,GOP,Ind,Date,,,,,,,,Pollster
266.0,1,Alabama,9,39,60,,Sep 22,,,,,,,,Rasmussen-1
260.5,2,Alabama,9,34,64,,Sep 17,,,,,,,,SurveyUSA-2
258.5,4,Alabama,9,36,58,,Sep 16,,,,,,,,ARG-4
255.5,8,Alabama,9,25,52,,Sep 15,,,,,,,,U. of South Alabama-8
250.0,7,Alabama,9,35,55,,Sep 09,,,,,,,,Capital Survey-7
214.0,7,Alabama,9,34,47,,Aug 04,,,,,,,,Capital Survey-7
213.0,1,Alabama,9,37,55,,Jul 31,,,,,,,,Rasmussen-1
178.0,1,Alabama,9,36,51,,Jun 26,,,,,,,,Rasmussen-1
177.5,2,Alabama,9,36,49,,Jun 26,,,,,,,,Capital Survey-2
152.0,5,Alabama,9,33,57,,Jun 02,,,,,,,,Capital Survey-5
148.0,1,Alabama,9,32,60,,May 27,,,,,,,,Rasmussen-1
138.0,3,Alabama,9,34,57,,May 18,,,,,,,,SurveyUSA-3
111.0,9,Alabama,9,36,55,,Apr 24,,,,,,,,Capital Survey-9
103.0,3,Alabama,9,32,64,,Apr 13,,,,,,,,SurveyUSA-3
 93.0,1,Alabama,9,37,55,,Apr 02,,,,,,,,Rasmussen-1
 85.5,4,Alabama,9,30,57,,Mar 27,,,,,,,,U. of South Alabama-4
 75.0,3,Alabama,9,35,62,,Mar 16,,,,,,,,SurveyUSA-3
 58.0,3,Alabama,9,40,54,,Feb 28,,,,,,,,SurveyUSA-3
 16.5,2,Alabama,9,29,63,,Jan 17,,,,,,,,SurveyUSA-2
  1.0,1,Alabama,9,37,63,,Jan 01,,,,,,,,Election 2004-1
263.0,5,Alaska,3,37,55,,Sep 21,,,,,,,,Fairleigh Dickinson U.-5
260.0,3,Alaska,3,38,55,,Sep 17,,,,,,,,Research 2000-3
254.0,3,Alaska,3,39,55,,Sep 11,,,,,,,,ARG-3
253.0,1,Alaska,3,33,64,,Sep 09,,,,,,,,Rasmussen-1
244.5,4,Alaska,3,35,54,,Sep 02,,,,,,,,Ivan Moore Research-4
212.0,1,Alaska,3,39,44,,Jul 30,,,,,,,,Rasmussen-1
199.0,1,Alaska,3,40,45,,Jul 17,,,,,,,,Rasmussen-1
197.0,3,Alaska,3,41,51,,Jul 16,,,,,,,,Research 2000-3
168.0,1,Alaska,3,41,45,,Jun 16,,,,,,,,Rasmussen-1
135.0,1,Alaska,3,41,50,,May 14,,,,,,,,Rasmussen-1
134.0,3,Alaska,3,42,49,,May 14,,,,,,,,Research 2000-3
 98.0,1,Alaska,3,43,48,,Apr 07,,,,,,,,Rasmussen-1
 58.0,3,Alaska,3,43,48,,Feb 28,,,,,,,,SurveyUSA-3
  1.0,1,Alaska,3,35,62,,Jan 01,,,,,,,,Election 2004-1
273.0,1,Arizona,10,38,59,,Sep 29,,,,,,,,Rasmussen-1
270.5,4,Arizona,10,38,45,,Sep 28,,,,,,,,Arizona State U.-4
256.5,4,Arizona,10,39,56,,Sep 14,,,,,,,,ARG-4
228.0,3,Arizona,10,30,40,,Aug 16,,,,,,,,Arizona State U.-3
227.0,3,Arizona,10,41,47,,Aug 15,,,,,,,,Mason-Dixon-3
212.0,1,Arizona,10,36,52,,Jul 30,,,,,,,,Rasmussen-1
177.0,1,Arizona,10,40,49,,Jun 25,,,,,,,,Rasmussen-1
172.5,2,Arizona,10,28,38,,Jun 21,,,,,,,,Arizona State U.-2
137.0,9,Arizona,10,39,50,,May 20,,,,,,,,Rocky Mtn Poll-9
116.5,4,Arizona,10,38,47,,Apr 27,,,,,,,,Arizona State U.-4
106.0,1,Arizona,10,37,57,,Apr 15,,,,,,,,Rasmussen-1
 94.5,10,Arizona,10,33,55,,Apr 08,,,,,,,,Northern Arizona U.-10
 58.0,3,Arizona,10,39,51,,Feb 28,,,,,,,,SurveyUSA-3
 53.5,4,Arizona,10,38,49,,Feb 24,,,,,,,,Arizona State U.-4
  1.0,1,Arizona,10,45,55,,Jan 01,,,,,,,,Election 2004-1
266.0,1,Arkansas,6,42,51,,Sep 22,,,,,,,,Rasmussen-1
265.0,3,Arkansas,6,41,53,,Sep 22,,,,,,,,ARG-3
196.0,1,Arkansas,6,37,47,,Jul 14,,,,,,,,Rasmussen-1
168.0,1,Arkansas,6,41,45,,Jun 16,,,,,,,,Rasmussen-1
164.0,1,Arkansas,6,39,48,,Jun 12,,,,,,,,Rasmussen-1
133.0,1,Arkansas,6,33,57,,May 12,,,,,,,,Rasmussen-1
 78.0,1,Arkansas,6,30,59,,Mar 18,,,,,,,,Rasmussen-1
 68.5,6,Arkansas,6,27,43,,Mar 11,,,,,,,,Opinion Res.-6
 58.0,3,Arkansas,6,33,53,,Feb 28,,,,,,,,SurveyUSA-3
