"recipient_name","number_of_jobs","pop_latitude","pop_longitude","pop_state_cd"
"ILLINOIS, STATE OF",52298.37,39.80185268,-89.65477702,"IL"
"PLANNING AND RESEARCH, GOVERNOR'S OFFICE OF",35323.48,38.57419369,-121.4894269,"CA"
"GOVERNOR, TEXAS OFFICE OF THE",24360.34,30.27260499,-97.738471,"TX"
"EXECUTIVE OFFICE OF THE GOVERNOR OF FLORIDA",19823.6,30.435484,-84.284667,"FL"
"NEW YORK, STATE OF",19193.9,42.65397403,-73.75765987,"NY"
"GEORGIA, STATE OF",18222,33.749689,-84.38786,"GA"
"NEW JERSEY, STATE OF",12583.74,40.28581522,-74.68907412,"NJ"
"GOVERNOR'S OFFICE",11812.49,35.78261899,-78.64057599,"NC"
"COMMONWEALTH OF KENTUCKY",11696.49,38.18820699,-84.87506099,"KY"
"EDUCATION, CALIFORNIA DEPARTMENT OF",11117.46,38.57419369,-121.4894269,"CA"
"EXECUTIVE OFFICE OF THE COMMONWEALTH OF PENNSYLVANIA",10339.86,40.26143569,-76.87953039,"PA"
"ADMINISTRATION, MISSOURI OFFICE OF",10116.01,38.56966793,-92.15970512,"MO"
"EXECUTIVE OFFICE STATE OF OHIO",9825.66,39.96144884,-83.00285221,"OH"
"NEW YORK STATE EDUCATION DEPARTMENT",8939.28,42.65397403,-73.75765987,"NY"
"EDUCATION, FLORIDA DEPARTMENT OF",7559.52,30.435484,-84.284667,"FL"
"EDUCATION AGENCY, TEXAS",7385.56,30.27872868,-97.73878795,"TX"
"OFFICE OF THE GOVERNOR",7155.99,32.37434874,-86.29797904,"AL"
"PUBLIC INSTRUCTION, NORTH CAROLINA DEPARTMENT OF",6461.66,35.784232,-78.63792599,"NC"
"EXECUTIVE OFFICE OF THE STATE OF TENNESSEE",6430.02,36.16154699,-86.783886,"TN"
"ADMINISTRATION, SECRETARY OF",6357.1,37.53819075,-77.43489115,"VA"
"WISCONSIN, STATE OF",6158.36,43.07514123,-89.3807822,"WI"
"EXECUTIVE OFFICE OF THE STATE OF MINNESOTA",6041.37,44.95141,-93.09932799,"MN"
"STATE OF MICHIGAN, EXECUTIVE OFFICE OF THE",5973.65,42.73268897,-84.56021659,"MI"
