"State","Latitude","Longitude"
"CA",3,12
"WA",3,18.5
"OR",4.5,16.5
"NV",5,15
"ID",7,16.5
"UT",7,14.5
"AZ",7,10.5
"MT",9,17
"WY",9,15
"CO",9.5,13
"NM",9,10.5
"ND",11.5,17
"SD",11.5,16
"NE",12,15
"KS",12,12
"OK",12,9.5
"TX",11,6
"MN",14.5,17
"IA",14.5,14.5
"MO",15,12.5
"AR",14.5,9.5
"LA",14.5,7.5
"WI",17.5,16
"IL",18.5,12.5
"TN",18.5,8.5
"MS",17.5,6.5
"MI",21,17.5
"IN",22.5,14
"KY",22,11.5
"AL",20.5,6
"FL",24,3.5
"GA",24.5,6
"SC",22,8.5
"NC",25,9.5
"VA",27.5,11.5
"WV",27,13.5
"OH",26,16.5
"PA",30,17.5
"MD",30,13.5
"DC",31,11
"D
E",32.5,12
"NJ",34.5,14
"NY",34,19.5
"VT",37,22
"MA",39,20.5
"CT",38.5,18.5
"RI",41,18.5
"NH",39,22.5
"ME",41,22.5
"AK",6,3
"HI",1.5,3
