,tars1,tars2,head,aede1,aede2,aede3,species
1 Concinna,191,131,53,150,15,104,1
2 Concinna,185,134,50,147,13,105,1
3 Concinna,200,137,52,144,14,102,1
4 Concinna,173,127,50,144,16,97,1
5 Concinna,171,118,49,153,13,106,1
6 Concinna,160,118,47,140,15,99,1
7 Concinna,188,134,54,151,14,98,1
8 Concinna,186,129,51,143,14,110,1
9 Concinna,174,131,52,144,14,116,1
10 Concinna,163,115,47,142,15,95,1
11 Concinna,190,143,52,141,13,99,1
12 Concinna,174,131,50,150,15,105,1
13 Concinna,201,130,51,148,13,110,1
14 Concinna,190,133,53,154,15,106,1
15 Concinna,182,130,51,147,14,105,1
16 Concinna,184,131,51,137,14,95,1
17 Concinna,177,127,49,134,15,105,1
18 Concinna,178,126,53,157,14,116,1
19 Concinna,210,140,54,149,13,107,1
20 Concinna,182,121,51,147,13,111,1
21 Concinna,186,136,56,148,14,111,1
22 Heptapot.,158,141,58,145,8,107,2
23 Heptapot.,146,119,51,140,11,111,2
24 Heptapot.,151,130,51,140,11,113,2
25 Heptapot.,122,113,45,131,10,102,2
26 Heptapot.,138,121,53,139,11,106,2
27 Heptapot.,132,115,49,139,10,98,2
28 Heptapot.,131,127,51,136,12,107,2
29 Heptapot.,135,123,50,129,11,107,2
30 Heptapot.,125,119,51,140,10,110,2
31 Heptapot.,130,120,48,137,9,106,2
32 Heptapot.,130,131,51,141,11,108,2
33 Heptapot.,138,127,52,138,9,101,2
34 Heptapot.,130,116,52,143,9,111,2
35 Heptapot.,143,123,54,142,11,95,2
36 Heptapot.,154,135,56,144,10,123,2
37 Heptapot.,147,132,54,138,10,102,2
38 Heptapot.,141,131,51,140,10,106,2
39 Heptapot.,131,116,47,130,9,102,2
40 Heptapot.,144,121,53,137,11,104,2
41 Heptapot.,137,146,53,137,10,113,2
42 Heptapot.,143,119,53,136,9,105,2
43 Heptapot.,135,127,52,140,10,108,2
44 Heikert.,186,107,49,120,14,84,3
45 Heikert.,211,122,49,123,16,95,3
46 Heikert.,201,114,47,130,14,74,3
47 Heikert.,242,131,54,131,16,90,3
48 Heikert.,184,108,43,116,16,75,3
49 Heikert.,211,118,51,122,15,90,3
50 Heikert.,217,122,49,127,15,73,3
51 Heikert.,223,127,51,132,16,84,3
52 Heikert.,208,125,50,125,14,88,3
53 Heikert.,199,124,46,119,13,78,3
54 Heikert.,211,129,49,122,13,83,3
55 Heikert.,218,126,49,120,15,85,3
56 Heikert.,203,122,49,119,14,73,3
57 Heikert.,192,116,49,123,15,90,3
58 Heikert.,195,123,47,125,15,77,3
59 Heikert.,211,122,48,125,14,73,3
60 Heikert.,187,123,47,129,14,75,3
61 Heikert.,192,109,46,130,13,90,3
62 Heikert.,223,124,53,129,13,82,3
63 Heikert.,188,114,48,122,12,74,3
64 Heikert.,216,120,50,129,15,86,3
65 Heikert.,185,114,46,124,15,92,3
66 Heikert.,178,119,47,120,13,78,3
67 Heikert.,187,111,49,119,16,66,3
68 Heikert.,187,112,49,119,14,55,3
69 Heikert.,201,130,54,133,13,84,3
70 Heikert.,187,120,47,121,15,86,3
71 Heikert.,210,119,50,128,14,68,3
72 Heikert.,196,114,51,129,14,86,3
73 Heikert.,195,110,49,124,13,89,3
74 Heikert.,187,124,49,129,14,88,3
