Gridx,Gridy,Lat,Long,elev,TimeIndx,Year,Month,ts,tsa_tovs,ps_tovs,o3_tovs,ca_low,ca_med,ca_high
1,1,36.25,-113.75,1526.25,1,1995,1,272.7,272.1,835,304,7.5,34.5,26
1,2,33.75,-113.75,612.94,1,1995,1,279.5,282.2,940,304,11.5,32.5,20
1,3,31.25,-113.75,328.62,1,1995,1,284.7,285.2,960,298,16.5,26,16
1,4,28.75,-113.75,367.81,1,1995,1,289.3,290.7,990,276,20.5,14.5,13
1,5,26.25,-113.75,58.5,1,1995,1,292.2,292.7,1000,274,26,10.5,7.5
1,6,23.75,-113.75,0,1,1995,1,294.1,293.6,1000,264,30,9.5,8
1,7,21.25,-113.75,0,1,1995,1,295,294.6,1000,258,29.5,11,14.5
1,8,18.75,-113.75,0,1,1995,1,298.3,296.9,1000,252,26.5,17.5,19.5
1,9,16.25,-113.75,0,1,1995,1,300.1,297.8,1000,250,27.5,18.5,22.5
1,10,13.75,-113.75,0,1,1995,1,300.1,298.7,1000,250,26,16.5,21
1,11,11.25,-113.75,0,1,1995,1,301,300.1,1000,248,28.5,12.5,19
1,12,8.75,-113.75,0,1,1995,1,301,300.1,1000,248,28,13.5,16.5
1,13,6.25,-113.75,0,1,1995,1,299.2,300.5,1000,250,33,18.5,17.5
1,14,3.75,-113.75,0,1,1995,1,298.7,299.6,1000,248,44.5,13,5.5
1,15,1.25,-113.75,0,1,1995,1,297.8,298.3,1000,248,43.5,4,0.5
1,16,-1.25,-113.75,0,1,1995,1,298.3,297.8,1000,248,37,1,0
1,17,-3.75,-113.75,0,1,1995,1,298.7,298.3,1000,248,29,1.5,0.5
1,18,-6.25,-113.75,0,1,1995,1,299.2,298.3,1000,250,25.5,4,1.5
1,19,-8.75,-113.75,0,1,1995,1,298.7,298.3,1000,252,27,4.5,1.5
1,20,-11.25,-113.75,0,1,1995,1,298.3,298.3,1000,252,34.5,4.5,2
1,21,-13.75,-113.75,0,1,1995,1,298.3,297.8,1000,254,34.5,3.5,4
1,22,-16.25,-113.75,0,1,1995,1,297.8,296.9,1000,258,31,3,3.5
1,23,-18.75,-113.75,0,1,1995,1,297.8,296.9,1000,258,34,4,2.5
1,24,-21.25,-113.75,0,1,1995,1,297.4,296.9,1000,260,31,2,0.5
2,1,36.25,-111.25,1759.56,1,1995,1,270.9,270.3,810,306,7,32,23
2,2,33.75,-111.25,1079.12,1,1995,1,279.5,282.2,940,304,11.5,32.5,20
2,3,31.25,-111.25,1228.88,1,1995,1,284.7,285.2,960,298,16.5,26,16
2,4,28.75,-111.25,349.69,1,1995,1,286.8,286.8,950,280,13.5,17,11
2,5,26.25,-111.25,122.88,1,1995,1,293.2,293.6,1000,272,22,10.5,8
2,6,23.75,-111.25,70,1,1995,1,295,295,1000,262,24.5,12.5,11
2,7,21.25,-111.25,0,1,1995,1,296.5,295,1000,258,27.5,16,13.5
2,8,18.75,-111.25,0,1,1995,1,298.3,296.9,1000,252,26.5,17.5,19.5
2,9,16.25,-111.25,0,1,1995,1,301.4,298.3,1000,250,23,17,26
2,10,13.75,-111.25,0,1,1995,1,301,299.6,1000,248,26,15.5,26.5
2,11,11.25,-111.25,0,1,1995,1,301.4,300.5,1000,248,26.5,12.5,20
2,12,8.75,-111.25,0,1,1995,1,301,300.5,1000,248,27,15.5,16.5
2,13,6.25,-111.25,0,1,1995,1,300.5,299.6,1000,246,33.5,19,15
2,14,3.75,-111.25,0,1,1995,1,298.7,299.2,1000,248,47,15.5,4.5
2,15,1.25,-111.25,0,1,1995,1,298.3,297.8,1000,246,47,5.5,0.5
2,16,-1.25,-111.25,0,1,1995,1,298.7,297.4,1000,248,43,0.5,0
2,17,-3.75,-111.25,0,1,1995,1,298.7,297.8,1000,246,32,1,0
2,18,-6.25,-111.25,0,1,1995,1,298.7,298.3,1000,250,29.5,3,1
2,19,-8.75,-111.25,0,1,1995,1,298.7,297.8,1000,250,26,4.5,3
2,20,-11.25,-111.25,0,1,1995,1,298.3,297.8,1000,252,32,4.5,3
2,21,-13.75,-111.25,0,1,1995,1,298.3,297.4,1000,256,36,6.5,3
2,22,-16.25,-111.25,0,1,1995,1,297.4,296.9,1000,254,37.5,5,3
2,23,-18.75,-111.25,0,1,1995,1,297.8,296.9,1000,258,34,4,2.5
2,24,-21.25,-111.25,0,1,1995,1,297.4,296.5,1000,260,31.5,2.5,1.5
3,1,36.25,-108.75,1948.38,1,1995,1,270.9,270.3,810,306,7,32,23
3,2,33.75,-108.75,1979.31,1,1995,1,275,272.7,820,296,9.5,30.5,18.5
3,3,31.25,-108.75,1483.69,1,1995,1,281.6,276.1,860,288,13.5,27,14
3,4,28.75,-108.75,1145.25,1,1995,1,286.8,286.8,950,280,13.5,17,11
3,5,26.25,-108.75,278.12,1,1995,1,287.8,284.2,880,266,15,18.5,10.5
3,6,23.75,-108.75,56.06,1,1995,1,296.5,295.5,1000,262,25,16.5,13
3,7,21.25,-108.75,0,1,1995,1,297.8,296,1000,256,25,19.5,15
3,8,18.75,-108.75,0,1,1995,1,299.2,297.8,1000,252,21.5,19,24
3,9,16.25,-108.75,0,1,1995,1,301.4,299.2,1000,248,20,16,24
3,10,13.75,-108.75,0,1,1995,1,301.4,299.6,1000,246,27.5,15,25.5
3,11,11.25,-108.75,0,1,1995,1,300.5,300.5,1000,248,26,13,21
3,12,8.75,-108.75,0,1,1995,1,301,300.1,1000,246,28.5,14,15
3,13,6.25,-108.75,0,1,1995,1,300.5,300.1,1000,246,34.5,18.5,15
3,14,3.75,-108.75,0,1,1995,1,299.2,299.2,1000,248,47.5,18,5
3,15,1.25,-108.75,0,1,1995,1,298.7,297.8,1000,246,51,7,0
3,16,-1.25,-108.75,0,1,1995,1,298.3,297.8,1000,246,46.5,1.5,0
3,17,-3.75,-108.75,0,1,1995,1,298.7,297.4,1000,246,38,1,0
3,18,-6.25,-108.75,0,1,1995,1,298.7,297.8,1000,246,33,2,1
3,19,-8.75,-108.75,0,1,1995,1,298.3,297.4,1000,248,30.5,3,1.5
3,20,-11.25,-108.75,0,1,1995,1,298.3,297.4,1000,250,30,3.5,4
3,21,-13.75,-108.75,0,1,1995,1,297.4,297.4,1000,254,39,6,3
3,22,-16.25,-108.75,0,1,1995,1,297.4,296.5,1000,254,41,4.5,1.5
3,23,-18.75,-108.75,0,1,1995,1,296.9,296.5,1000,258,37,4.5,2.5
3,24,-21.25,-108.75,0,1,1995,1,297.4,296,1000,260,32.5,3.5,1.5
4,1,36.25,-106.25,2241.31,1,1995,1,269.7,270.9,775,294,7,29.5,17
4,2,33.75,-106.25,1780.56,1,1995,1,275.6,272.7,810,294,8.5,26.5,16.5
4,3,31.25,-106.25,1326.06,1,1995,1,281.6,275,855,294,15.5,27,12.5
4,4,28.75,-106.25,1698.56,1,1995,1,283.7,276.7,795,278,14.5,20,11
4,5,26.25,-106.25,2151.25,1,1995,1,287.8,284.2,880,266,15,18.5,10.5
4,6,23.75,-106.25,856.06,1,1995,1,286.8,282.7,805,252,11,20,19.5
4,7,21.25,-106.25,207.81,1,1995,1,298.3,297.4,1000,256,25,19.5,19.5
4,8,18.75,-106.25,1.69,1,1995,1,300.5,297.8,995,252,19,18.5,24.5
4,9,16.25,-106.25,0,1,1995,1,302.3,300.5,1000,248,21,15,18
4,10,13.75,-106.25,0,1,1995,1,301.4,300.1,1000,246,27.5,14.5,20
4,11,11.25,-106.25,0,1,1995,1,301.4,301,1000,246,27,13.5,14
4,12,8.75,-106.25,0,1,1995,1,300.5,300.1,1000,246,28,13,10
4,13,6.25,-106.25,0,1,1995,1,301,299.6,1000,248,34,19.5,16.5
4,14,3.75,-106.25,0,1,1995,1,298.7,299.6,1000,246,43.5,22,5.5
4,15,1.25,-106.25,0,1,1995,1,298.7,297.8,1000,248,54.5,11,0
4,16,-1.25,-106.25,0,1,1995,1,298.3,297.4,1000,248,52,3.5,0
4,17,-3.75,-106.25,0,1,1995,1,298.7,297.8,1000,246,40.5,2,0
4,18,-6.25,-106.25,0,1,1995,1,298.3,297.8,1000,248,32,2,0.5
4,19,-8.75,-106.25,0,1,1995,1,298.3,296.9,1000,248,36.5,3,1
4,20,-11.25,-106.25,0,1,1995,1,297.8,296.9,1000,250,30.5,3.5,3.5
4,21,-13.75,-106.25,0,1,1995,1,297.4,296.9,1000,250,41,4.5,3.5
4,22,-16.25,-106.25,0,1,1995,1,296.9,296,1000,252,45.5,4,1
4,23,-18.75,-106.25,0,1,1995,1,296.9,296.5,1000,254,42.5,4.5,1.5
4,24,-21.25,-106.25,0,1,1995,1,296.9,296.5,1000,258,39,4,1
5,1,36.25,-103.75,1692.75,1,1995,1,273.2,271.5,795,308,11,33,19.5
5,2,33.75,-103.75,1370.25,1,1995,1,277.3,271.5,850,302,12.5,31,18
5,3,31.25,-103.75,1117.5,1,1995,1,280.5,278.9,885,292,12.5,26,13.5
5,4,28.75,-103.75,1345.75,1,1995,1,284.2,277.3,850,280,12.5,17,14
5,5,26.25,-103.75,1364.94,1,1995,1,285.8,279.5,825,264,9,16.5,15
5,6,23.75,-103.75,2120.69,1,1995,1,286.8,282.7,805,252,11,20,19.5
5,7,21.25,-103.75,1609.81,1,1995,1,289.3,283.7,825,242,7,18,28
5,8,18.75,-103.75,716.06,1,1995,1,299.2,300.1,1000,250,14,16,24
5,9,16.25,-103.75,0,1,1995,1,302.3,301,1000,248,19.5,12,13
5,10,13.75,-103.75,0,1,1995,1,301.9,300.5,1000,246,26,12,12
5,11,11.25,-103.75,0,1,1995,1,301,300.5,1000,244,22.5,11.5,8.5
5,12,8.75,-103.75,0,1,1995,1,300.1,300.1,1000,248,27,9,8
5,13,6.25,-103.75,0,1,1995,1,301.9,300.1,1000,248,39,16,12.5
5,14,3.75,-103.75,0,1,1995,1,299.2,300.1,1000,246,42,25.5,11
5,15,1.25,-103.75,0,1,1995,1,298.3,298.7,1000,246,52.5,19,1
5,16,-1.25,-103.75,0,1,1995,1,298.3,297.4,1000,246,50,7,0
5,17,-3.75,-103.75,0,1,1995,1,298.3,298.3,1000,246,44.5,4,0.5
5,18,-6.25,-103.75,0,1,1995,1,298.7,297.8,1000,246,34.5,2.5,0.5
5,19,-8.75,-103.75,0,1,1995,1,297.8,297.4,1000,246,39.5,3,1.5
5,20,-11.25,-103.75,0,1,1995,1,297.4,296.9,1000,252,36.5,3.5,2
5,21,-13.75,-103.75,0,1,1995,1,297.4,296.9,1000,250,44,4,3
5,22,-16.25,-103.75,0,1,1995,1,296.9,296.5,1000,252,46.5,5,3
5,23,-18.75,-103.75,0,1,1995,1,296.9,296,1000,252,47.5,4.5,1
5,24,-21.25,-103.75,0,1,1995,1,296.5,295.5,1000,258,48,4.5,0.5
6,1,36.25,-101.25,865.19,1,1995,1,275.6,275.6,915,310,14.5,34,17
