"","pop_cong_dist","state","country","total_award"
"19","00","AK","US",1684259242.17
"20","00","DE","US",719248421.14
"21","00","MT","US",1152771988.19
"22","00","ND","US",800765674.9
"23","00","SD","US",991645899.61
"24","00","VT","US",589713150.15
"25","00","WY","US",538578118.55
"26","01","AL","US",202892959.21
"27","01","AR","US",177816509.78
"28","01","AZ","US",436071277.96
"29","01","CA","US",295614787
"30","01","CO","US",1789655012.59
"31","01","CT","US",1312655546.22
"32","01","FL","US",188707058.63
"33","01","GA","US",241287346.19
"34","01","HI","US",813429694.41
"35","01","IA","US",77267849.68
"36","01","ID","US",226649340.89
"37","01","IL","US",228134511
"38","01","IN","US",197960726.8
"39","01","KS","US",221011263.48
"40","01","KY","US",368416646.88
"41","01","LA","US",166366710.65
"42","01","MA","US",194305642.15
"43","01","MD","US",219730321.97
"44","01","ME","US",672840022.76
"45","01","MI","US",265653678.61
"46","01","MN","US",189731936.12
"47","01","MO","US",468614417.02
"48","01","MS","US",410361024.89
"49","01","NC","US",193531283.21
"50","01","NE","US",718452853.6
"51","01","NH","US",137355136.96
"52","01","NJ","US",244309469
"53","01","NM","US",299282489.46
"54","01","NV","US",154603864.28
"55","01","NY","US",391579192.9
"56","01","OH","US",254917646.56
"57","01","OK","US",165721163.75
"58","01","OR","US",496243796.63
"59","01","PA","US",568748440.16
"60","01","RI","US",206842988.57
"61","01","SC","US",191637319.27
"62","01","TN","US",199918539.94
"63","01","TX","US",141574908.09
"64","01","UT","US",1215884534.54
"65","01","VA","US",171037191.27
"66","01","WA","US",131005223.28
"67","01","WI","US",155395013.66
"68","01","WV","US",201872673.42
"69","02","AL","US",1373783851.71
"70","02","AR","US",1182224836.77
"71","02","AZ","US",59129405.06
"72","02","CA","US",423319008.11
"73","02","CO","US",346404168.51
"74","02","CT","US",101233818.42
"75","02","FL","US",5394096331.66
"76","02","GA","US",159132696.3
"77","02","HI","US",256483145.54
"78","02","IA","US",200157632.55
"79","02","ID","US",1196513249.47
"80","02","IL","US",242792408.05
"81","02","IN","US",240278605.45
"82","02","KS","US",1151462908.69
"83","02","KY","US",204790732.41
"84","02","LA","US",249104255.75
"85","02","MA","US",94425074.59
"86","02","MD","US",139971228.85
"87","02","ME","US",269801871.51
"88","02","MI","US",63506896.17
"89","02","MN","US",169094166.97
"90","02","MO","US",137493328.04
"91","02","MS","US",1269044087.98
"92","02","NC","US",420341123.54
"93","02","ND","US",7831.04
"94","02","NE","US",206368440.71
"95","02","NH","US",661900718.78
"96","02","NJ","US",191833413.59
"97","02","NM","US",544141923.62
